Posted Date,Main Skill 1,Main Skill 2,Main Skill 3,Company,Workplace,Address,Company Type,Company Industry,Company Size,Country,Working Days,Overtime Policy
2024-08-29 20:21:20.095789,IT Support,Scrum,NULL,Renesas Design Vietnam,At office,Ho Chi Minh,IT Product,IT Hardware and Computing,1000+,Japan,Monday - Friday,Extra salary for OT
2024-08-29 20:21:20.095789,English,IT Support,NULL,Renesas Design Vietnam,Hybrid,Ho Chi Minh,IT Product,IT Hardware and Computing,1000+,Japan,Monday - Friday,Extra salary for OT
2024-08-29 19:21:20.095789,ReactJS,JavaScript,NodeJS,NAB Innovation Centre Vietnam,Hybrid,Ho Chi Minh,IT Product,Banking,1000+,Australia,Monday - Friday,No OT
2024-08-29 19:21:20.095789,Java,JavaScript,NULL,Renesas Design Vietnam,Hybrid,Ho Chi Minh,IT Product,IT Hardware and Computing,1000+,Japan,Monday - Friday,Extra salary for OT
2024-08-29 19:21:20.095789,Project Manager,Japanese,English,FUJIFILM Business Innovation Việt Nam,At office,Ho Chi Minh,IT Product,IT Hardware and Computing,151-300,Vietnam,Monday - Friday,Extra salary for OT
2024-08-29 19:21:20.095789,Embedded,Project Manager,Team Leader,FUJIFILM Business Innovation Việt Nam,At office,Ho Chi Minh,IT Product,IT Hardware and Computing,151-300,Vietnam,Monday - Friday,Extra salary for OT
2024-08-29 19:21:20.095789,Embedded,C++,JavaScript,FUJIFILM Business Innovation Việt Nam,At office,Ho Chi Minh,IT Product,IT Hardware and Computing,151-300,Vietnam,Monday - Friday,Extra salary for OT
2024-08-29 18:21:20.095789,JavaScript,HTML5,English,Adnovum Vietnam,Hybrid,Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,1-50,Switzerland,Monday - Friday,No OT
2024-08-29 18:21:20.095789,Manager,Python,Java,Grab (Vietnam) Ltd.,Hybrid,Ho Chi Minh,IT Product,"Transportation, Logistics and Warehouse",501-1000,Singapore,Monday - Friday,No OT
2024-08-29 18:21:20.095789,Software Architect,Database,NULL,DatVietVAC,At office,Ho Chi Minh,IT Product,"Media, Advertising and Entertainment",501-1000,Vietnam,Monday - Friday,No OT
