Posted Date,Skill,Company,Workplace,Company Type,Company Industry,Company Size,Country
2024-08-29 20:21:20.095789,IT Support,Renesas Design Vietnam,At office,IT Product,IT Hardware and Computing,1000+,Japan
2024-08-29 20:21:20.095789,English,Renesas Design Vietnam,Hybrid,IT Product,IT Hardware and Computing,1000+,Japan
2024-08-29 19:21:20.095789,ReactJS,NAB Innovation Centre Vietnam,Hybrid,IT Product,Banking,1000+,Australia
2024-08-29 19:21:20.095789,Java,Renesas Design Vietnam,Hybrid,IT Product,IT Hardware and Computing,1000+,Japan
2024-08-29 19:21:20.095789,Project Manager,FUJIFILM Business Innovation Việt Nam,At office,IT Product,IT Hardware and Computing,151-300,Vietnam
2024-08-29 19:21:20.095789,Embedded,FUJIFILM Business Innovation Việt Nam,At office,IT Product,IT Hardware and Computing,151-300,Vietnam
2024-08-29 19:21:20.095789,Embedded,FUJIFILM Business Innovation Việt Nam,At office,IT Product,IT Hardware and Computing,151-300,Vietnam
2024-08-29 18:21:20.095789,JavaScript,Adnovum Vietnam,Hybrid,IT Service and IT Consulting,IT Services and IT Consulting,1-50,Switzerland
2024-08-29 18:21:20.095789,Manager,Grab (Vietnam) Ltd.,Hybrid,IT Product,"Transportation, Logistics and Warehouse",501-1000,Singapore
2024-08-29 18:21:20.095789,Software Architect,DatVietVAC,At office,IT Product,"Media, Advertising and Entertainment",501-1000,Vietnam
2024-08-29 18:21:20.095789,Salesforce,ONE Tech Stop Vietnam Company Ltd,At office,IT Product,IT Services and IT Consulting,51-150,Singapore
2024-08-29 18:21:20.095789,C++,Alliex Vietnam,At office,IT Service and IT Consulting,Financial Services,51-150,South Korea
2024-08-29 18:21:20.095789,DevSecOps,Techcombank,At office,IT Product,Banking,1000+,Vietnam
2024-08-29 18:21:20.095789,Python,Outpost24,At office,IT Product,Software Products and Web Services,1-50,Sweden
2024-08-29 17:21:20.095789,Tester,"TPIsoftware Co., Ltd",At office,IT Product,Software Products and Web Services,1-50,Taiwan
2024-08-29 17:21:20.095789,Python,Trusting Social,At office,IT Service and IT Consulting,Financial Services,301-500,Singapore
2024-08-29 17:21:20.095789,Agile,LG CNS Việt Nam,At office,IT Product,Manufacturing and Engineering,151-300,Vietnam
2024-08-29 17:21:20.095789,Golang,Grab (Vietnam) Ltd.,Hybrid,IT Product,"Transportation, Logistics and Warehouse",501-1000,Singapore
2024-08-29 17:21:20.095789,Automation Test,Trusting Social,At office,IT Service and IT Consulting,Financial Services,301-500,Singapore
2024-08-29 17:21:20.095789,Automation Test,Techcombank,At office,IT Product,Banking,1000+,Vietnam
2024-08-29 17:21:20.095789,Tester,Techcombank,At office,IT Product,Banking,1000+,Vietnam
2024-08-29 17:21:20.095789,Tester,Techcombank,At office,IT Product,Banking,1000+,Vietnam
2024-08-29 16:21:20.095789,Tester,Motorist Pte Ltd,At office,IT Product,Banking,1000+,Vietnam
2024-08-29 16:21:20.095789,Business Analyst,Saigon Technology,At office,IT Service and IT Consulting,IT Services and IT Consulting,151-300,Vietnam
2024-08-29 15:21:20.095789,NodeJS,SSI Securities Corporation,At office,IT Product,Financial Services,1000+,Vietnam
2024-08-29 15:21:20.095789,UI-UX,AKILA,At office,IT Product,"Media, Advertising and Entertainment",51-150,Singapore
2024-08-29 15:21:20.095789,Linux,Vietnix,At office,IT Service and IT Consulting,Network and Infrastructure,51-150,Vietnam
2024-08-29 15:21:20.095789,PHP,ITZ,At office,IT Product,IT Services and IT Consulting,1-50,Japan
2024-08-29 15:21:20.095789,Security,MB Bank,At office,IT Product,N/A,1000+,Vietnam
2024-08-29 14:21:20.095789,JavaScript,Symper,At office,IT Product,Software Products and Web Services,1-50,Vietnam
2024-08-29 14:21:20.095789,Business Analyst,PAL TECH,At office,IT Product,Software Products and Web Services,51-150,Singapore
2024-08-29 14:21:20.095789,Blockchain,Relia Software,Hybrid,IT Outsourcing,Software Development Outsourcing,51-150,Vietnam
2024-08-29 14:21:20.095789,Embedded,Samsung Electronics HCMC CE Complex,At office,IT Product,IT Hardware and Computing,1000+,South Korea
2024-08-29 14:21:20.095789,Angular,Samsung Electronics HCMC CE Complex,At office,IT Product,IT Hardware and Computing,1000+,South Korea
2024-08-29 14:21:20.095789,Bridge Engineer,RiverCrane Vietnam,At office,IT Product,Software Products and Web Services,51-150,Japan
2024-08-29 14:21:20.095789,Security,MB Bank,At office,IT Product,N/A,1000+,Vietnam
2024-08-29 13:21:20.095789,Business Analyst,Unisofts,At office,IT Product,"AI, Blockchain and Deep Tech Services",51-150,Vietnam
2024-08-29 12:21:20.095789,System Admin,Adnovum Vietnam,Hybrid,IT Service and IT Consulting,IT Services and IT Consulting,1-50,Switzerland
2024-08-29 12:21:20.095789,Project Manager,NAB Innovation Centre Vietnam,Hybrid,IT Product,Banking,1000+,Australia
2024-08-29 12:21:20.095789,Data Analyst,GemCommerce,At office,IT Product,E-commerce,51-150,Vietnam
2024-08-29 12:21:20.095789,AWS,Flodesk,At office,IT Product,IT Services and IT Consulting,1-50,United States
2024-08-29 12:21:20.095789,AWS,Viettel Software Services (A Member of Viettel Group),At office,IT Product,IT Services and IT Consulting,1-50,United States
