Title,Skill 1,Skill 2,Skill 3,Skill 4,Company,Address 1,Address 2,Post date,Salary
Android Developer (Mid-Sen) - Thu Nhập Upto 60 Triệu - Product Top Global,Android,,,,CÔNG TY CỔ PHẦN IKAME GLOBAL,Hà Nội: Đống Đa, Cầu Giấy,Đăng 2 ngày trước,Tới 60 triệu
Quản Trị Hệ Thống (SYSTEM ADMIN),System Admin,,,,Ngân Hàng TMCP Công Thương Việt Nam (VietinBank),Hà Nội,,Đăng 2 ngày trước,Thoả thuận
Business Analyst,Business Analyst,,,,CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO ALTISSS,Hồ Chí Minh: Quận 1,,Đăng 2 ngày trước,400 - 700 USD
Product Owner - Tại Hồ Chí Minh - Thu Nhập Hấp Dẫn,Product Owner,,,,Công ty CP Tiếp thị số Tô Quà,Hồ Chí Minh: Tân Bình,,Đăng 3 ngày trước,Thoả thuận
Nhân Viên Kiểm Thử Phần Mềm (Automation/Manual),,,,,Công ty TNHH Tap Hospitality Vietnam,Hà Nội: Cầu Giấy,,Đăng 3 ngày trước,Thoả thuận
Chuyên Viên Quản Trị Cơ Sở Dữ Liệu/ Quản Trị Dữ Liệu Tại Hà Nội/ Thu Nhập Cạnh Tranh Hấp Dẫn/ Nghỉ T7 + CN,,,,,CÔNG TY CỔ PHẦN THÔNG TIN TÍN DỤNG FINTECH VIỆT NAM,Hà Nội: Long Biên,,Đăng 4 ngày trước,Thoả thuận
Chuyên Viên Bảo Mật An Toàn Hệ Thống CNTT Tại Hà Nội/ Thu Nhập Cạnh Tranh Hấp Dẫn/ Nghỉ T7 + CN,,,,,CÔNG TY CỔ PHẦN THÔNG TIN TÍN DỤNG FINTECH VIỆT NAM,Hà Nội: Long Biên,,Đăng 4 ngày trước,Thoả thuận
"Nhân Viên Marketing Online (Google Adw), Thu Nhập Lên Đến 30 Triệu Tại Hà Nội",,,,,CÔNG TY TNHH TRUYỀN THÔNG MEDIA POWER,Hà Nội: Hai Bà Trưng,,Đăng 4 ngày trước,8 - 30 triệu
Game Developer - 2 Năm Kinh Nghiệm - Lương Up To 20m,Game,,,,CÔNG TY CỔ PHẦN CÔNG NGHỆ ONECHAIN,Hà Nội: Cầu Giấy,,Đăng 4 ngày trước,15 - 20 triệu
2D Artist - 2 Năm Kinh Nghiệm - Thu Nhập Từ 15tr - 25tr,,,,,CÔNG TY CỔ PHẦN CÔNG NGHỆ ONECHAIN,Hà Nội: Cầu Giấy,,Đăng 4 ngày trước,15 - 25 triệu
UA Game/ UA Marketing (Game Mobile) - Offer Up To 17M - Đi Làm Ngay,Mobile,Game,,,CÔNG TY CỔ PHẦN CÔNG NGHỆ ONECHAIN,Hà Nội: Cầu Giấy,,Đăng 4 ngày trước,15 - 17 triệu
Nhân Viên Tester (Ba/ QC/ Tester),Tester,,,,Công ty Cổ phần Công nghệ Tin học và Dịch vụ Goline,Hà Nội: Cầu Giấy,,Đăng 4 ngày trước,12 - 18 triệu
Account Manager,Manager,,,,CÔNG TY TNHH CLOUD ACE,Hồ Chí Minh: Quận 4,,Đăng 5 ngày trước,Thoả thuận
Cloud System Engineer,Cloud,System Engineer,,,Công Ty TNHH LG CNS VIỆT NAM,Hà Nội: Nam Từ Liêm,,Đăng 5 ngày trước,Thoả thuận
"Chuyên Viên Phát Triển Phần Mềm IT [Hà Nội] - Thu Nhập Cạnh Tranh, Nhiều Đãi Ngộ Hấp Dẫn",,,,,Ngân Hàng Bảo Việt,Hà Nội: Hoàn Kiếm,,Đăng 5 ngày trước,Thoả thuận
"Chuyên Viên Tư Vấn Giải Pháp Công Nghệ [Hà Nội/ Hồ Chí Minh] - Hoa Hồng Lũy Tiến Lên Đến 30%, Được Đào Tạo Bài Bản, Chuyên Nghiệp",,,,,Công ty cổ phần Công nghệ Sapo,Hà Nội: Ba Đình,Hồ Chí Minh: Quận 11,Đăng 5 ngày trước,10 - 25 triệu
"Chuyên Viên Vận Hành, Giám Sát Hệ Thống Thẻ",,,,,Ngân hàng Hợp tác xã Việt Nam,Hà Nội: Cầu Giấy,,Đăng 5 ngày trước,Thoả thuận
"Full Stack Developer (React, .NET, C#)",C#,.NET,,,Công Ty TNHH LG CNS VIỆT NAM,Hà Nội: Nam Từ Liêm,,Đăng 5 ngày trước,Thoả thuận
Chuyên Viên Phân Tích Dữ Liệu (Data Analyst) - Thu Nhập Từ 18 Triệu Trở Lên,Data Analyst,Data,,,Công ty Cổ phần Thương Mại và Đầu Tư Gia Vũ,Hà Nội: Thanh Xuân,,Đăng 5 ngày trước,18 - 25 triệu
Software Developer (Node.Js/Java/PHP/Python/Go) Hà Nội,Java,PHP,Python,,CÔNG TY CỔ PHẦN TOKYO TECH LAB VIỆT NAM,Hà Nội: Nam Từ Liêm,,Đăng 5 ngày trước,15 - 30 triệu
Video Editor (Fresher),,,,,SonatGame Studio,Hà Nội: Cầu Giấy,,Đăng 5 ngày trước,Tới 15 triệu
Game Designer - Thu Nhập Up To 30M - Từ 2 Năm Kinh Nghiệm - Đi Làm Ngay Tại Cầu Giấy,Designer,Game,,,CÔNG TY CỔ PHẦN CÔNG NGHỆ ONECHAIN,Hà Nội: Cầu Giấy,,Đăng 6 ngày trước,20 - 30 triệu
Vận Hành Game - Thu Nhập Up To 14M - Từ 1 Năm Kinh Nghiệm - Đi Làm Ngay,Game,,,,CÔNG TY CỔ PHẦN CÔNG NGHỆ ONECHAIN,Hà Nội: Cầu Giấy,,Đăng 6 ngày trước,10 - 14 triệu
Lập Trình Viên Java,Java,,,,TỔNG CÔNG TY CỔ PHẦN BƯU CHÍNH VIETTEL,Hà Nội: Cầu Giấy,,Đăng 6 ngày trước,15 - 55 triệu
Kỹ Sư Phát Triển Trí Tuệ Nhân Tạo AI Từ 2 Năm Kinh Nghiệm Tại Hà Nội,AI,,,,CÔNG TY CỔ PHẦN TẬP ĐOÀN GIẢI PHÁP SAO MAI,Hà Nội: Cầu Giấy,,Đăng 6 ngày trước,8 - 12 triệu
Product Owner (Product Manager/BA Leader) Offer Từ 1200$ Chế Độ Hấp Dẫn,Manager,Product Manager,Product Owner,Leader,Công Ty Cổ Phần Công Nghệ SellerSmith,Hà Nội: Nam Từ Liêm,,Đăng 1 tuần trước,"1,200 - 2,000 USD"
Product Owner ( Wage Up To 40M),Product Owner,,,,EDUPIA,Hà Nội: Thanh Xuân,,Đăng 1 tuần trước,Tới 40 triệu
